epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1324.37,1.49119,0.88384,1.16668,0.71143,0.69071,0.74164,0.39138,1.94583,1.04962,1.35877,0.000828443,0.000828443,0.000828443
43,1355.3,1.52874,0.89328,1.17207,0.7645,0.64494,0.75126,0.41838,1.80794,1.0644,1.30288,0.000820525,0.000820525,0.000820525
44,1386.06,1.51154,0.8821,1.16571,0.76936,0.67961,0.75439,0.43953,1.75461,1.01547,1.29233,0.000812468,0.000812468,0.000812468
45,1416.81,1.49682,0.89762,1.1654,0.7045,0.69439,0.74589,0.45018,1.6522,0.98605,1.25384,0.000804277,0.000804277,0.000804277
46,1447.81,1.47454,0.8597,1.15627,0.75058,0.70538,0.77788,0.44934,1.73806,0.9455,1.28801,0.000795954,0.000795954,0.000795954
47,1478.86,1.44628,0.84311,1.14277,0.7568,0.65171,0.74193,0.43868,1.74455,1.02663,1.30635,0.000787503,0.000787503,0.000787503
48,1509.27,1.43966,0.82541,1.14477,0.75659,0.70319,0.7759,0.45146,1.72565,0.94631,1.28103,0.000778929,0.000778929,0.000778929
49,1540.43,1.45056,0.82757,1.12692,0.73242,0.70234,0.75779,0.43807,1.76436,0.95416,1.28053,0.000770234,0.000770234,0.000770234
50,1571.41,1.4553,0.81349,1.1354,0.77032,0.681,0.76715,0.45303,1.71659,0.97141,1.27777,0.000761423,0.000761423,0.000761423
51,1601.91,1.43206,0.80504,1.13013,0.75579,0.65465,0.75192,0.46055,1.62368,0.98994,1.25264,0.0007525,0.0007525,0.0007525
52,1639.2,1.44714,0.82426,1.13907,0.77683,0.70006,0.7761,0.44189,1.73207,0.93327,1.26274,0.000743468,0.000743468,0.000743468
53,1669.81,1.43056,0.8186,1.12737,0.78349,0.66713,0.76689,0.44022,1.70795,0.96108,1.25912,0.000734332,0.000734332,0.000734332
54,1700.78,1.44493,0.82422,1.12718,0.70714,0.68655,0.74349,0.44918,1.63391,0.98773,1.24401,0.000725094,0.000725094,0.000725094
55,1731.99,1.39495,0.79318,1.12429,0.72617,0.75035,0.78741,0.47726,1.63546,0.92171,1.23477,0.000715761,0.000715761,0.000715761
56,1763.39,1.42287,0.79473,1.11093,0.75247,0.68932,0.76305,0.45058,1.72547,1.00431,1.2673,0.000706335,0.000706335,0.000706335
57,1793.81,1.42014,0.80224,1.12279,0.76963,0.65742,0.74352,0.44655,1.63858,0.9627,1.24989,0.00069682,0.00069682,0.00069682
58,1824.72,1.41306,0.81484,1.12653,0.75761,0.68793,0.76311,0.45501,1.71556,0.96248,1.26908,0.000687222,0.000687222,0.000687222
59,1855.76,1.40227,0.79174,1.09842,0.7888,0.65269,0.75339,0.45359,1.70508,0.99475,1.26634,0.000677543,0.000677543,0.000677543
60,1886.28,1.36941,0.7769,1.10137,0.80789,0.67129,0.7668,0.47335,1.62629,0.93173,1.25341,0.000667789,0.000667789,0.000667789
61,1916.95,1.37773,0.76301,1.10718,0.75417,0.68932,0.75424,0.46382,1.63653,0.95036,1.24543,0.000657963,0.000657963,0.000657963
62,1948.39,1.38115,0.77188,1.09878,0.78797,0.65187,0.75634,0.44287,1.75319,0.99732,1.29035,0.000648071,0.000648071,0.000648071
63,1979.22,1.35986,0.76142,1.10628,0.77286,0.71261,0.79357,0.45665,1.73388,0.92935,1.25849,0.000638115,0.000638115,0.000638115
64,2010.34,1.35427,0.75644,1.08851,0.74414,0.69903,0.76632,0.47587,1.6334,0.93711,1.26137,0.000628101,0.000628101,0.000628101
65,2041.23,1.34183,0.74831,1.088,0.73578,0.68655,0.76328,0.46379,1.64004,0.96111,1.24195,0.000618034,0.000618034,0.000618034
66,2072.31,1.37362,0.76204,1.09001,0.73991,0.75173,0.78938,0.45707,1.70674,0.92046,1.26938,0.000607916,0.000607916,0.000607916
67,2103.73,1.34535,0.74206,1.08752,0.76844,0.68655,0.77255,0.4534,1.66564,0.92611,1.25358,0.000597754,0.000597754,0.000597754
68,2134.45,1.36108,0.74711,1.09171,0.72543,0.69626,0.75477,0.44659,1.73015,0.95933,1.2698,0.000587551,0.000587551,0.000587551
69,2165.09,1.35704,0.73764,1.07932,0.76556,0.70596,0.78155,0.47808,1.63363,0.89964,1.23228,0.000577311,0.000577311,0.000577311
70,2196.39,1.32826,0.753,1.08749,0.80901,0.66297,0.76783,0.4484,1.72981,0.93186,1.28025,0.00056704,0.00056704,0.00056704
71,2227.2,1.32894,0.7201,1.07773,0.75069,0.70319,0.77905,0.45822,1.72026,0.90575,1.2663,0.000556742,0.000556742,0.000556742
72,2258.41,1.32117,0.7266,1.07841,0.71016,0.71706,0.76679,0.46744,1.66242,0.93739,1.2526,0.000546421,0.000546421,0.000546421
73,2288.63,1.27486,0.69341,1.07795,0.7921,0.63939,0.74907,0.45921,1.68133,1.03817,1.26918,0.000536081,0.000536081,0.000536081
74,2319.41,1.29046,0.69886,1.07113,0.78457,0.67684,0.76458,0.4753,1.69592,0.93574,1.26963,0.000525728,0.000525728,0.000525728
75,2350.51,1.26592,0.68931,1.06659,0.75189,0.68932,0.76297,0.47208,1.66361,0.99649,1.25824,0.000515366,0.000515366,0.000515366
76,2381.24,1.28601,0.70942,1.07359,0.80223,0.68639,0.77929,0.46984,1.61437,0.91503,1.24367,0.000505,0.000505,0.000505
77,2411.86,1.25495,0.69703,1.06645,0.74195,0.70735,0.77062,0.4705,1.62679,0.92864,1.26488,0.000494634,0.000494634,0.000494634
78,2443.01,1.2716,0.68681,1.05073,0.76543,0.71151,0.78408,0.47006,1.62965,0.91516,1.24497,0.000484272,0.000484272,0.000484272
79,2474.6,1.24362,0.67189,1.04359,0.72861,0.70378,0.75539,0.46706,1.61087,0.95175,1.23991,0.000473919,0.000473919,0.000473919
80,2505.79,1.23924,0.67653,1.05227,0.73529,0.71567,0.76413,0.47083,1.6361,0.95972,1.24605,0.000463579,0.000463579,0.000463579
81,2536.46,1.24171,0.6783,1.0497,0.75375,0.71012,0.77309,0.48769,1.59223,0.90903,1.22568,0.000453258,0.000453258,0.000453258
82,2567.62,1.24408,0.66906,1.03941,0.78989,0.69348,0.76581,0.46412,1.71251,0.9525,1.26219,0.00044296,0.00044296,0.00044296
83,2598.64,1.22518,0.65435,1.03738,0.795,0.69903,0.77648,0.48167,1.60122,0.88526,1.22951,0.000432689,0.000432689,0.000432689
84,2629.34,1.22464,0.662,1.05628,0.73045,0.72538,0.75622,0.47834,1.57022,0.97533,1.22724,0.000422449,0.000422449,0.000422449
85,2659.99,1.22827,0.6628,1.03972,0.75509,0.69274,0.75856,0.47264,1.61589,0.90587,1.22973,0.000412246,0.000412246,0.000412246
86,2690.45,1.20854,0.65161,1.03917,0.77543,0.681,0.75994,0.48343,1.59059,0.93155,1.22806,0.000402084,0.000402084,0.000402084
87,2720.68,1.21771,0.66867,1.06468,0.75914,0.67129,0.75394,0.47716,1.59997,0.94045,1.23171,0.000391966,0.000391966,0.000391966
88,2751.11,1.2242,0.65735,1.03932,0.77114,0.67764,0.76559,0.47498,1.61579,0.9071,1.24661,0.000381899,0.000381899,0.000381899
89,2781.61,1.21669,0.64709,1.03797,0.74024,0.68771,0.76199,0.46668,1.61511,0.95769,1.23701,0.000371885,0.000371885,0.000371885
90,2812.36,1.18072,0.63011,1.02781,0.72563,0.72261,0.77001,0.48245,1.6252,0.91906,1.23297,0.000361929,0.000361929,0.000361929
91,2842.73,1.16544,0.62487,1.02587,0.76521,0.69626,0.77053,0.48326,1.59447,0.92052,1.23494,0.000352037,0.000352037,0.000352037
92,2875.53,1.18136,0.61817,1.02969,0.75282,0.72654,0.77172,0.47913,1.61241,0.89676,1.23951,0.000342211,0.000342211,0.000342211
93,2906.04,1.16151,0.61152,1.02707,0.74334,0.73509,0.77664,0.4895,1.58907,0.90905,1.23117,0.000332457,0.000332457,0.000332457
94,2936.71,1.20322,0.64547,1.02736,0.77643,0.72252,0.78061,0.48489,1.61146,0.88298,1.22717,0.000322778,0.000322778,0.000322778
95,2967.77,1.16489,0.62281,1.01973,0.77459,0.68155,0.76031,0.47081,1.61216,0.9532,1.23426,0.00031318,0.00031318,0.00031318
96,2998.43,1.19554,0.64603,1.03768,0.77086,0.70458,0.77138,0.48742,1.59045,0.91692,1.23619,0.000303665,0.000303665,0.000303665
97,3029.27,1.16767,0.64104,1.02853,0.80887,0.65742,0.75616,0.48613,1.58198,1.01124,1.23335,0.000294239,0.000294239,0.000294239
98,3059.79,1.1692,0.61995,1.02185,0.77224,0.69348,0.76842,0.48882,1.61662,0.93223,1.2334,0.000284906,0.000284906,0.000284906
99,3090.32,1.16519,0.6239,1.01728,0.75216,0.72399,0.77723,0.48644,1.62874,0.92573,1.24396,0.000275668,0.000275668,0.000275668
100,3121.21,1.14688,0.60088,1.01207,0.78505,0.6889,0.76693,0.48095,1.6206,0.94809,1.2518,0.000266532,0.000266532,0.000266532
101,3152.26,1.13404,0.59578,1.00787,0.76881,0.69903,0.76877,0.48863,1.59443,0.93536,1.2432,0.0002575,0.0002575,0.0002575
102,3189.12,1.1459,0.61064,1.01937,0.74644,0.72677,0.77285,0.49196,1.58457,0.92374,1.23281,0.000248577,0.000248577,0.000248577
103,3220.78,1.13416,0.59177,1.01038,0.78839,0.69071,0.76833,0.4841,1.60404,0.93071,1.23833,0.000239766,0.000239766,0.000239766
104,3251.82,1.13841,0.6019,1.00909,0.76751,0.71012,0.7793,0.48765,1.59434,0.9056,1.22618,0.000231071,0.000231071,0.000231071
105,3282.42,1.10511,0.58539,1.00143,0.80538,0.69071,0.78133,0.50147,1.56832,0.8813,1.22787,0.000222497,0.000222497,0.000222497
106,3318.85,1.09417,0.57476,0.99291,0.76176,0.69626,0.76528,0.48402,1.6155,0.95526,1.2365,0.000214046,0.000214046,0.000214046
107,3350.58,1.09288,0.57087,0.99053,0.78441,0.66613,0.75857,0.4942,1.59274,0.96793,1.23604,0.000205723,0.000205723,0.000205723
