epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,718.11,1.52981,0.90341,1.14088,0.78907,0.66413,0.76683,0.41955,1.74447,0.99342,1.2248,0.000828443,0.000828443,0.000828443
43,734.081,1.51573,0.89632,1.13637,0.73894,0.67918,0.76365,0.4309,1.7474,0.96532,1.2205,0.000820525,0.000820525,0.000820525
44,750.26,1.51144,0.87936,1.13014,0.76395,0.71371,0.78291,0.46061,1.67845,0.94306,1.20365,0.000812468,0.000812468,0.000812468
45,766.495,1.52056,0.90149,1.14276,0.76544,0.64494,0.73167,0.4451,1.68592,0.99916,1.23247,0.000804277,0.000804277,0.000804277
46,782.547,1.50422,0.87399,1.13269,0.7813,0.63384,0.73997,0.43884,1.72388,0.9867,1.23499,0.000795954,0.000795954,0.000795954
47,798.518,1.48012,0.85561,1.12618,0.7278,0.69348,0.74844,0.42624,1.79441,1.0125,1.24708,0.000787503,0.000787503,0.000787503
48,814.794,1.48172,0.84799,1.12826,0.79976,0.66574,0.76648,0.45568,1.66455,0.94077,1.221,0.000778929,0.000778929,0.000778929
49,831.334,1.49901,0.8397,1.11208,0.80581,0.65049,0.75805,0.46461,1.66164,0.95205,1.21716,0.000770234,0.000770234,0.000770234
50,847.954,1.48333,0.83763,1.11923,0.783,0.62968,0.73766,0.44362,1.68214,1.00885,1.21,0.000761423,0.000761423,0.000761423
51,864.059,1.45556,0.83286,1.1105,0.72127,0.67834,0.74313,0.44162,1.72387,1.02053,1.22582,0.0007525,0.0007525,0.0007525
52,880.256,1.46734,0.85624,1.1143,0.79392,0.67545,0.77638,0.46001,1.66062,0.94385,1.19999,0.000743468,0.000743468,0.000743468
53,896.384,1.47081,0.84285,1.1111,0.7047,0.66528,0.73082,0.42634,1.65287,1.04228,1.21861,0.000734332,0.000734332,0.000734332
54,912.785,1.4872,0.8551,1.1116,0.77107,0.66852,0.75211,0.43184,1.66661,0.98716,1.2181,0.000725094,0.000725094,0.000725094
55,928.872,1.43725,0.8225,1.10603,0.73002,0.67129,0.73954,0.45124,1.68074,1.04445,1.22014,0.000715761,0.000715761,0.000715761
56,944.938,1.46624,0.82298,1.09646,0.72349,0.71706,0.76969,0.46369,1.65703,0.9329,1.19279,0.000706335,0.000706335,0.000706335
57,961.157,1.46488,0.82972,1.1097,0.74254,0.69209,0.74739,0.44555,1.63326,0.95066,1.2021,0.00069682,0.00069682,0.00069682
58,977.232,1.47788,0.84655,1.1221,0.76602,0.67268,0.76109,0.46055,1.62126,0.98704,1.19981,0.000687222,0.000687222,0.000687222
59,993.644,1.48211,0.83331,1.09531,0.76362,0.68377,0.75576,0.44463,1.69967,0.97629,1.21492,0.000677543,0.000677543,0.000677543
60,1010.27,1.44611,0.8186,1.09756,0.77031,0.65585,0.74869,0.45448,1.62388,0.9771,1.18989,0.000667789,0.000667789,0.000667789
61,1027.05,1.45157,0.80648,1.10252,0.76249,0.63672,0.74006,0.4479,1.64454,0.98871,1.19725,0.000657963,0.000657963,0.000657963
62,1043.27,1.45211,0.82558,1.09891,0.769,0.66852,0.76934,0.46116,1.64995,0.93264,1.21493,0.000648071,0.000648071,0.000648071
63,1059.77,1.41624,0.79749,1.09627,0.75304,0.72261,0.783,0.47541,1.63078,0.9307,1.18562,0.000638115,0.000638115,0.000638115
64,1076.06,1.40404,0.79039,1.08079,0.75624,0.71983,0.77437,0.46415,1.62348,0.93864,1.19294,0.000628101,0.000628101,0.000628101
65,1092.25,1.3909,0.78515,1.07393,0.7657,0.67406,0.7681,0.45551,1.66475,0.94749,1.20941,0.000618034,0.000618034,0.000618034
66,1108.5,1.44728,0.79761,1.08673,0.76628,0.67545,0.7692,0.44563,1.7024,0.9447,1.20609,0.000607916,0.000607916,0.000607916
67,1124.74,1.42025,0.79277,1.08205,0.75363,0.66713,0.75468,0.40467,1.81656,0.97515,1.2388,0.000597754,0.000597754,0.000597754
68,1141.02,1.44558,0.79882,1.08847,0.72008,0.68503,0.75562,0.44091,1.7015,0.97425,1.20542,0.000587551,0.000587551,0.000587551
69,1157.11,1.39136,0.77595,1.0684,0.752,0.69903,0.76966,0.4598,1.67285,0.95299,1.19918,0.000577311,0.000577311,0.000577311
70,1173.32,1.38555,0.78715,1.07649,0.75418,0.69903,0.76162,0.44051,1.74871,0.93933,1.22163,0.00056704,0.00056704,0.00056704
71,1189.92,1.3805,0.76892,1.06979,0.78577,0.68239,0.77337,0.46398,1.64141,0.91995,1.18176,0.000556742,0.000556742,0.000556742
72,1206.63,1.39334,0.76411,1.07498,0.76506,0.70456,0.77268,0.47604,1.61794,0.91482,1.17536,0.000546421,0.000546421,0.000546421
73,1223.01,1.33747,0.73859,1.0766,0.73669,0.71012,0.76383,0.47807,1.59676,0.91467,1.18237,0.000536081,0.000536081,0.000536081
74,1239.47,1.36317,0.74896,1.06847,0.7933,0.66158,0.75614,0.46473,1.65757,0.91541,1.20166,0.000525728,0.000525728,0.000525728
75,1255.51,1.3227,0.72867,1.05763,0.77692,0.70524,0.77703,0.46665,1.6277,0.91305,1.18172,0.000515366,0.000515366,0.000515366
76,1271.57,1.34771,0.74664,1.06745,0.73729,0.71706,0.77574,0.46433,1.63135,0.93998,1.20184,0.000505,0.000505,0.000505
77,1287.53,1.32667,0.73638,1.0626,0.74304,0.71983,0.77289,0.47157,1.61038,0.91775,1.19434,0.000494634,0.000494634,0.000494634
78,1303.74,1.35162,0.73372,1.053,0.78049,0.69209,0.77298,0.46997,1.65367,0.92136,1.20217,0.000484272,0.000484272,0.000484272
79,1319.86,1.3031,0.72092,1.04065,0.80834,0.69764,0.78015,0.46267,1.66505,0.9128,1.20331,0.000473919,0.000473919,0.000473919
80,1335.76,1.31534,0.71846,1.05256,0.79058,0.681,0.77673,0.45781,1.72129,0.91873,1.21969,0.000463579,0.000463579,0.000463579
81,1351.83,1.31535,0.72407,1.05434,0.78817,0.67406,0.76597,0.47579,1.59295,0.90737,1.18033,0.000453258,0.000453258,0.000453258
82,1367.96,1.33129,0.72539,1.04688,0.77778,0.6699,0.75493,0.46863,1.64656,0.93812,1.19679,0.00044296,0.00044296,0.00044296
83,1384.83,1.30889,0.71505,1.04333,0.73855,0.72261,0.77996,0.47831,1.62874,0.88134,1.19509,0.000432689,0.000432689,0.000432689
84,1401.59,1.31053,0.7146,1.05635,0.81019,0.67406,0.77404,0.47678,1.59035,0.92032,1.19772,0.000422449,0.000422449,0.000422449
85,1418.4,1.31304,0.71613,1.04399,0.78423,0.70735,0.78798,0.47732,1.64193,0.88317,1.19916,0.000412246,0.000412246,0.000412246
86,1434.34,1.29063,0.69995,1.04281,0.79076,0.66044,0.76149,0.47046,1.65414,0.94965,1.20484,0.000402084,0.000402084,0.000402084
87,1450.42,1.30349,0.71701,1.06362,0.75236,0.72261,0.77507,0.4816,1.61611,0.90078,1.19613,0.000391966,0.000391966,0.000391966
88,1466.77,1.30829,0.71025,1.04265,0.80377,0.67129,0.77137,0.47162,1.62429,0.93329,1.21417,0.000381899,0.000381899,0.000381899
89,1482.93,1.29644,0.70064,1.03924,0.74944,0.7018,0.76711,0.46518,1.64978,0.9335,1.21489,0.000371885,0.000371885,0.000371885
90,1499.15,1.2688,0.68464,1.0337,0.72161,0.72261,0.76592,0.47443,1.63189,0.91822,1.2103,0.000361929,0.000361929,0.000361929
91,1515.02,1.255,0.68604,1.03601,0.76434,0.70626,0.77238,0.47428,1.62446,0.90907,1.21414,0.000352037,0.000352037,0.000352037
92,1531.04,1.2461,0.66731,1.02553,0.77722,0.67742,0.75616,0.46466,1.63793,0.94737,1.20694,0.000342211,0.000342211,0.000342211
93,1547.09,1.23444,0.66891,1.02339,0.78981,0.70042,0.77588,0.46615,1.69097,0.90758,1.2134,0.000332457,0.000332457,0.000332457
94,1563.23,1.30057,0.70501,1.0329,0.77475,0.71012,0.77699,0.48474,1.63175,0.88765,1.19759,0.000322778,0.000322778,0.000322778
95,1580.23,1.26545,0.68271,1.03003,0.7398,0.72954,0.77201,0.47019,1.67932,0.92742,1.21247,0.00031318,0.00031318,0.00031318
96,1597.14,1.28867,0.70353,1.04623,0.79971,0.66852,0.77346,0.47391,1.65055,0.91766,1.20065,0.000303665,0.000303665,0.000303665
